t_idx,idx,proba,real,imag,occupation
0,0,1.000000000000,1.000000000000,0.000000000000,[1 1 0 0]
0,1,0.000000000000,0.000000000000,0.000000000000,[1 0 1 0]
0,2,1.000000000000,1.000000000000,0.000000000000,[1 0 0 1]
0,3,0.000000000000,0.000000000000,0.000000000000,[0 1 1 0]
0,4,0.000000000000,0.000000000000,-0.000000000000,[0 1 0 1]
1,0,1.066827056320,0.987834196184,0.301679726150,[1 1 0 0]
1,1,0.000000000000,0.000000000000,0.000000000000,[1 0 1 0]
1,2,1.009996153665,0.999965440668,0.100325824869,[1 0 0 1]
1,3,0.010065272330,0.000034559332,-0.100325824869,[0 1 1 0]
1,4,0.000000000000,0.000000000000,-0.000000000000,[0 1 0 1]
2,0,1.481826663602,1.063434467842,0.592396654453,[1 1 0 0]
2,1,0.000000000000,0.000000000000,0.000000000000,[1 0 1 0]
2,2,1.037564330686,0.999453782761,0.196612478777,[1 0 0 1]
2,3,0.038656765164,0.000546217239,-0.196612478777,[0 1 1 0]
2,4,0.000000000000,0.000000000000,-0.000000000000,[0 1 0 1]
3,0,0.751352968788,0.824574180519,-0.267264643396,[1 1 0 0]
3,1,0.000000000000,0.000000000000,0.000000000000,[1 0 1 0]
3,2,1.075896989620,0.997290700141,0.285146013532,[1 0 0 1]
3,3,0.081315589339,0.002709299859,-0.285146013532,[0 1 1 0]
3,4,0.000000000000,0.000000000000,-0.000000000000,[0 1 0 1]
4,0,0.592087202417,0.699023666298,-0.321641285243,[1 1 0 0]
4,1,0.000000000000,0.000000000000,0.000000000000,[1 0 1 0]
4,2,1.115072921802,0.991679007364,0.362830081656,[1 0 0 1]
4,3,0.131714907073,0.008320992636,-0.362830081656,[0 1 1 0]
4,4,0.000000000000,0.000000000000,-0.000000000000,[0 1 0 1]
5,0,0.425653926462,0.550669010045,-0.349882219951,[1 1 0 0]
5,1,0.000000000000,0.000000000000,0.000000000000,[1 0 1 0]
5,2,1.143908913538,0.980420526974,0.427416078108,[1 0 0 1]
5,3,0.183067859589,0.019579473026,-0.427416078108,[0 1 1 0]
5,4,0.000000000000,0.000000000000,-0.000000000000,[0 1 0 1]
6,0,0.272646076903,0.387859289372,-0.349587254560,[1 1 0 0]
6,1,0.000000000000,0.000000000000,0.000000000000,[1 0 1 0]
6,2,1.152038533349,0.961192350346,0.477648195836,[1 0 0 1]
6,3,0.229653832657,0.038807649654,-0.477648195836,[0 1 1 0]
6,4,0.000000000000,0.000000000000,-0.000000000000,[0 1 0 1]
7,0,0.062426546398,0.219899360340,-0.118620477661,[1 1 0 0]
7,1,0.000000000000,0.000000000000,0.000000000000,[1 0 1 0]
7,2,1.131826499009,0.931847559338,0.513309482831,[1 0 0 1]
7,3,0.268131380333,0.068152440662,-0.513309482831,[0 1 1 0]
7,4,0.000000000000,0.000000000000,-0.000000000000,[0 1 0 1]
8,0,0.029687956764,0.053720362970,-0.163713406191,[1 1 0 0]
8,1,0.000000000000,0.000000000000,0.000000000000,[1 0 1 0]
8,2,1.079762205755,0.890707710409,0.535165376657,[1 0 0 1]
8,3,0.298346784936,0.109292289591,-0.535165376657,[0 1 1 0]
8,4,0.000000000000,0.000000000000,-0.000000000000,[0 1 0 1]
9,0,0.300634476898,-0.002423141317,0.548296092713,[1 1 0 0]
9,1,0.000000000000,0.000000000000,0.000000000000,[1 0 1 0]
9,2,0.997079542660,0.836815093318,0.544811932923,[1 0 0 1]
9,3,0.323449356024,0.163184906682,-0.544811932923,[0 1 1 0]
